3,Kollam Jn,2,11:30 PM,12:10 AM,40 Mins,11:35 PM,12:13 AM,38 Mins, 64 Kms,16343,2018-01-06
4,Karunagapalli,2,11:58 PM,12:42 AM,44 Mins,11:59 PM,12:43 AM,44 Mins, 91 Kms,16343,2018-01-06
5,Kayankulam Jn,2,12:19 AM,01:31 AM,1 Hr 12 Mins,12:20 AM,01:32 AM,1 Hr 12 Mins, 105 Kms,16343,2018-01-06
6,Mavelikara,2,12:30 AM,01:45 AM,1 Hr 15 Mins,12:31 AM,01:47 AM,1 Hr 16 Mins, 113 Kms,16343,2018-01-06
7,Chengannur,2,12:41 AM,01:59 AM,1 Hr 18 Mins,12:43 AM,02:01 AM,1 Hr 18 Mins, 125 Kms,16343,2018-01-06
8,Tiruvalla,2,12:53 AM,02:16 AM,1 Hr 23 Mins,12:54 AM,02:17 AM,1 Hr 23 Mins, 134 Kms,16343,2018-01-06
9,Changanaseri,2,01:04 AM,02:30 AM,1 Hr 26 Mins,01:05 AM,02:35 AM,1 Hr 30 Mins, 142 Kms,16343,2018-01-06
10,Kottayam,2,01:25 AM,03:03 AM,1 Hr 38 Mins,01:28 AM,03:12 AM,1 Hr 44 Mins, 160 Kms,16343,2018-01-06
11,Ernakulam Town,2,02:55 AM,04:27 AM,1 Hr 32 Mins,03:00 AM,04:32 AM,1 Hr 32 Mins, 223 Kms,16343,2018-01-06
12,Idaplli,2,03:11 AM,04:44 AM,1 Hr 33 Mins,03:12 AM,04:45 AM,1 Hr 33 Mins, 229 Kms,16343,2018-01-06
13,Aluva,2,03:28 AM,04:59 AM,1 Hr 31 Mins,03:30 AM,05:02 AM,1 Hr 32 Mins, 240 Kms,16343,2018-01-06
14,Thrisur,2,04:17 AM,05:50 AM,1 Hr 33 Mins,04:20 AM,05:53 AM,1 Hr 33 Mins, 294 Kms,16343,2018-01-06
15,Shoranur Jn,2,05:30 AM,06:35 AM,1 Hr 5 Mins,05:40 AM,07:07 AM,1 Hr 27 Mins, 327 Kms,16343,2018-01-06
16,Ottappalam,2,05:58 AM,07:22 AM,1 Hr 24 Mins,06:00 AM,07:23 AM,1 Hr 23 Mins, 336 Kms,16343,2018-01-06
17,Palakkad Jn,2,07:15 AM,07:50 AM,35 Mins,07:30 AM,08:24 AM,54 Mins, 367 Kms,16343,2018-01-06
18,Palghat Town,2,07:45 AM,08:35 AM,50 Mins,07:50 AM,08:40 AM,50 Mins, 371 Kms,16343,2018-01-06
19,Pollachi Jn,2,09:05 AM,09:30 AM,25 Mins,09:10 AM,09:35 AM,25 Mins, 425 Kms,16343,2018-01-06
20,Palani,2,10:28 AM,10:43 AM,15 Mins,10:30 AM,10:45 AM,15 Mins, 488 Kms,16343,2018-01-06
21,Dindigul Jn,2,11:43 AM,11:50 AM,7 Mins,11:45 AM,11:53 AM,8 Mins, 546 Kms,16343,2018-01-06
1,Trivandrum Cntl,1,Source,Source,No Delay,10:30 PM,10:30 PM,No Delay, 0 Kms,16343,2018-01-07
2,Varkalasivagiri,1,11:04 PM,11:16 PM,12 Mins,11:05 PM,11:17 PM,12 Mins, 41 Kms,16343,2018-01-07
3,Kollam Jn,1,11:30 PM,11:52 PM,22 Mins,11:35 PM,11:55 PM,20 Mins, 64 Kms,16343,2018-01-07
4,Karunagapalli,2,11:58 PM,12:24 AM,26 Mins,11:59 PM,12:25 AM,26 Mins, 91 Kms,16343,2018-01-07
5,Kayankulam Jn,2,12:19 AM,01:09 AM,50 Mins,12:20 AM,01:11 AM,51 Mins, 105 Kms,16343,2018-01-07
6,Mavelikara,2,12:30 AM,01:23 AM,53 Mins,12:31 AM,01:25 AM,54 Mins, 113 Kms,16343,2018-01-07
7,Chengannur,2,12:41 AM,01:40 AM,59 Mins,12:43 AM,01:42 AM,59 Mins, 125 Kms,16343,2018-01-07
8,Tiruvalla,2,12:53 AM,01:53 AM,1 Hr,12:54 AM,01:55 AM,1 Hr 1 Min, 134 Kms,16343,2018-01-07
9,Changanaseri,2,01:04 AM,02:07 AM,1 Hr 3 Mins,01:05 AM,02:24 AM,1 Hr 19 Mins, 142 Kms,16343,2018-01-07
10,Kottayam,2,01:25 AM,02:50 AM,1 Hr 25 Mins,01:28 AM,02:53 AM,1 Hr 25 Mins, 160 Kms,16343,2018-01-07
11,Ernakulam Town,2,02:55 AM,04:16 AM,1 Hr 21 Mins,03:00 AM,04:22 AM,1 Hr 22 Mins, 223 Kms,16343,2018-01-07
12,Idaplli,2,03:11 AM,04:39 AM,1 Hr 28 Mins,03:12 AM,04:40 AM,1 Hr 28 Mins, 229 Kms,16343,2018-01-07
13,Aluva,2,03:28 AM,04:53 AM,1 Hr 25 Mins,03:30 AM,04:55 AM,1 Hr 25 Mins, 240 Kms,16343,2018-01-07
